time(s)	cellId	rnti	lcid	packetSize
8.01004	2	1	3	5263
8.01054	2	1	3	378
8.10504	2	1	3	395
8.11004	2	1	3	5263
8.11054	2	1	3	378
8.20504	2	1	3	395
8.21004	2	1	3	5263
8.21054	2	1	3	378
8.30504	2	1	3	395
8.31004	2	1	3	5263
8.31054	2	1	3	378
8.40504	2	1	3	395
8.41004	2	1	3	5263
8.41054	2	1	3	378
8.50504	2	1	3	395
8.51004	2	1	3	5263
8.51054	2	1	3	378
8.60504	2	1	3	395
8.61004	2	1	3	5263
8.61054	2	1	3	378
8.70504	2	1	3	395
8.71004	2	1	3	5263
8.71054	2	1	3	378
8.80504	2	1	3	395
8.81004	2	1	3	5263
8.81054	2	1	3	378
8.90504	2	1	3	395
8.91004	2	1	3	5263
8.91054	2	1	3	378
9.00504	2	1	3	395
9.01004	2	1	3	5263
9.01054	2	1	3	378
9.10504	2	1	3	395
9.11004	2	1	3	5263
9.11054	2	1	3	378
9.20504	2	1	3	395
9.21004	2	1	3	5263
9.21054	2	1	3	378
9.30504	2	1	3	395
9.31004	2	1	3	5263
9.31054	2	1	3	378
9.40504	2	1	3	395
9.41004	2	1	3	5263
9.41054	2	1	3	378
9.50504	2	1	3	395
9.51004	2	1	3	5263
9.51054	2	1	3	378
9.60504	2	1	3	395
9.61004	2	1	3	5263
9.61054	2	1	3	378
9.70504	2	1	3	395
9.71004	2	1	3	5263
9.71054	2	1	3	378
9.80504	2	1	3	395
9.81004	2	1	3	5263
9.81054	2	1	3	378
9.90504	2	1	3	395
9.91004	2	1	3	5263
9.91054	2	1	3	378
10.005	2	1	3	395
10.01	2	1	3	5263
10.0105	2	1	3	378
10.105	2	1	3	395
10.11	2	1	3	5263
10.1105	2	1	3	378
10.205	2	1	3	395
10.21	2	1	3	5263
10.2105	2	1	3	378
10.305	2	1	3	395
10.31	2	1	3	5263
10.3105	2	1	3	378
10.405	2	1	3	395
10.41	2	1	3	5263
10.4105	2	1	3	378
10.505	2	1	3	395
10.51	2	1	3	5263
10.5105	2	1	3	378
10.605	2	1	3	395
10.61	2	1	3	5263
10.6105	2	1	3	378
10.705	2	1	3	395
10.71	2	1	3	5263
10.7105	2	1	3	378
10.805	2	1	3	395
10.81	2	1	3	5263
10.8105	2	1	3	378
10.905	2	1	3	395
10.91	2	1	3	5263
10.9105	2	1	3	378
11.005	2	1	3	395
11.01	2	1	3	5263
11.0105	2	1	3	378
11.105	2	1	3	395
11.11	2	1	3	5263
11.1105	2	1	3	378
11.205	2	1	3	395
11.21	2	1	3	5263
11.2105	2	1	3	378
11.305	2	1	3	395
11.31	2	1	3	5263
11.3105	2	1	3	378
11.405	2	1	3	395
11.41	2	1	3	5263
11.4105	2	1	3	378
11.505	2	1	3	395
11.51	2	1	3	5263
11.5105	2	1	3	378
11.605	2	1	3	395
11.61	2	1	3	5263
11.6105	2	1	3	378
11.705	2	1	3	395
11.71	2	1	3	5263
11.7105	2	1	3	378
11.805	2	1	3	395
11.81	2	1	3	5263
11.8105	2	1	3	378
11.905	2	1	3	395
11.91	2	1	3	5263
11.9105	2	1	3	378
12.005	2	1	3	395
12.01	2	1	3	5263
12.0105	2	1	3	378
12.105	2	1	3	395
12.11	2	1	3	5263
12.1105	2	1	3	378
12.205	2	1	3	395
12.21	2	1	3	5263
12.2105	2	1	3	378
12.305	2	1	3	395
12.31	2	1	3	5263
12.3105	2	1	3	378
12.405	2	1	3	395
12.41	2	1	3	5263
12.4105	2	1	3	378
12.505	2	1	3	395
12.51	2	1	3	5263
12.5105	2	1	3	378
12.605	2	1	3	395
12.61	2	1	3	5263
12.6105	2	1	3	378
12.705	2	1	3	395
12.71	2	1	3	5263
12.7105	2	1	3	378
12.805	2	1	3	395
12.81	2	1	3	5263
12.8105	2	1	3	378
12.905	2	1	3	395
12.91	2	1	3	5263
12.9105	2	1	3	378
13.005	2	1	3	395
13.01	2	1	3	5263
13.0105	2	1	3	378
13.105	2	1	3	395
13.11	2	1	3	5263
13.1105	2	1	3	378
13.205	2	1	3	395
13.21	2	1	3	5263
13.2105	2	1	3	378
13.305	2	1	3	395
13.31	2	1	3	5263
13.3105	2	1	3	378
13.405	2	1	3	395
13.41	2	1	3	5263
13.4105	2	1	3	378
13.505	2	1	3	395
13.51	2	1	3	5263
13.5105	2	1	3	378
13.605	2	1	3	395
13.61	2	1	3	5263
13.6105	2	1	3	378
13.705	2	1	3	395
13.71	2	1	3	5263
13.7105	2	1	3	378
13.805	2	1	3	395
13.81	2	1	3	5263
13.8105	2	1	3	378
13.905	2	1	3	395
13.91	2	1	3	5263
13.9105	2	1	3	378
14.005	2	1	3	395
14.01	2	1	3	5263
14.0105	2	1	3	378
14.105	2	1	3	395
14.11	2	1	3	5263
14.1105	2	1	3	378
14.205	2	1	3	395
14.21	2	1	3	5263
14.2105	2	1	3	378
14.305	2	1	3	395
14.31	2	1	3	5263
14.3105	2	1	3	378
14.405	2	1	3	395
14.41	2	1	3	5263
14.4105	2	1	3	378
14.505	2	1	3	395
14.51	2	1	3	5263
14.5105	2	1	3	378
14.605	2	1	3	395
14.61	2	1	3	5263
14.6105	2	1	3	378
14.705	2	1	3	395
14.71	2	1	3	5263
14.7105	2	1	3	378
14.805	2	1	3	395
14.81	2	1	3	5263
14.8105	2	1	3	378
14.905	2	1	3	395
14.91	2	1	3	5263
14.9105	2	1	3	378
15.005	2	1	3	395
15.01	2	1	3	5263
15.0105	2	1	3	378
15.105	2	1	3	395
15.11	2	1	3	5263
15.1105	2	1	3	378
15.205	2	1	3	395
15.21	2	1	3	5263
15.2105	2	1	3	378
15.305	2	1	3	395
15.31	2	1	3	5263
15.3105	2	1	3	378
15.405	2	1	3	395
15.41	2	1	3	5263
15.4105	2	1	3	378
15.505	2	1	3	395
15.51	2	1	3	5263
15.5105	2	1	3	378
15.605	2	1	3	395
15.61	2	1	3	5263
15.6105	2	1	3	378
15.705	2	1	3	395
15.71	2	1	3	5263
15.7105	2	1	3	378
15.805	2	1	3	395
15.81	2	1	3	5263
15.8105	2	1	3	378
15.905	2	1	3	395
15.91	2	1	3	5263
15.9105	2	1	3	378
16.005	2	1	3	395
16.01	2	1	3	5263
16.0105	2	1	3	378
16.105	2	1	3	395
16.11	2	1	3	5263
16.1105	2	1	3	378
16.205	2	1	3	395
16.21	2	1	3	5263
16.2105	2	1	3	378
16.305	2	1	3	395
16.31	2	1	3	5263
16.3105	2	1	3	378
16.405	2	1	3	395
16.41	2	1	3	5263
16.4105	2	1	3	378
16.505	2	1	3	395
16.51	2	1	3	5263
16.5105	2	1	3	378
16.605	2	1	3	395
16.61	2	1	3	5263
16.6105	2	1	3	378
16.705	2	1	3	395
16.71	2	1	3	5263
16.7105	2	1	3	378
16.805	2	1	3	395
16.81	2	1	3	5263
16.8105	2	1	3	378
16.905	2	1	3	395
16.91	2	1	3	5263
16.9105	2	1	3	378
17.005	2	1	3	395
17.01	2	1	3	5263
17.0105	2	1	3	378
17.105	2	1	3	395
17.11	2	1	3	5263
17.1105	2	1	3	378
17.205	2	1	3	395
17.21	2	1	3	5263
17.2105	2	1	3	378
17.305	2	1	3	395
17.31	2	1	3	5263
17.3105	2	1	3	378
17.405	2	1	3	395
17.41	2	1	3	5263
17.4105	2	1	3	378
17.505	2	1	3	395
17.51	2	1	3	5263
17.5105	2	1	3	378
17.605	2	1	3	395
17.61	2	1	3	5263
17.6105	2	1	3	378
17.705	2	1	3	395
17.71	2	1	3	5263
17.7105	2	1	3	378
17.805	2	1	3	395
17.81	2	1	3	5263
17.8105	2	1	3	378
17.905	2	1	3	395
17.91	2	1	3	5263
17.9105	2	1	3	378
18.005	2	1	3	395
18.01	2	1	3	5263
18.0105	2	1	3	378
18.105	2	1	3	395
18.11	2	1	3	5263
18.1105	2	1	3	378
18.205	2	1	3	395
18.21	2	1	3	5263
18.2105	2	1	3	378
18.305	2	1	3	395
18.31	2	1	3	5263
18.3105	2	1	3	378
18.405	2	1	3	395
18.41	2	1	3	5263
18.4105	2	1	3	378
18.505	2	1	3	395
18.51	2	1	3	5263
18.5105	2	1	3	378
18.605	2	1	3	395
18.61	2	1	3	5263
18.6105	2	1	3	378
18.705	2	1	3	395
18.71	2	1	3	5263
18.7105	2	1	3	378
18.805	2	1	3	395
18.81	2	1	3	5263
18.8105	2	1	3	378
18.905	2	1	3	395
18.91	2	1	3	5263
18.9105	2	1	3	378
19.005	2	1	3	395
19.01	2	1	3	5263
19.0105	2	1	3	378
19.105	2	1	3	395
19.11	2	1	3	5263
19.1105	2	1	3	378
19.205	2	1	3	395
19.21	2	1	3	5263
19.2105	2	1	3	378
19.305	2	1	3	395
19.31	2	1	3	5263
19.3105	2	1	3	378
19.405	2	1	3	395
19.41	2	1	3	5263
19.4105	2	1	3	378
19.505	2	1	3	395
19.51	2	1	3	5263
19.5105	2	1	3	378
19.605	2	1	3	395
19.61	2	1	3	5263
19.6105	2	1	3	378
19.705	2	1	3	395
19.71	2	1	3	5263
19.7105	2	1	3	378
19.805	2	1	3	395
19.81	2	1	3	5263
19.8105	2	1	3	378
